"Label","Samples","Errors","ErrorRatePercent","MinMs","AvgMs","P50Ms","P90Ms","P95Ms","P99Ms","MaxMs","ThroughputPerSec"
"ALL","12000","0","0","12","193.39","159","378","467","670","1171","275.98"
"BENCH GET /api/cart","2000","0","0","17","212.51","179","396","497","698","1010","46.56"
"BENCH GET /api/categories","2000","0","0","13","186.57","149","377","466","664","1065","46.52"
"BENCH GET /api/products","2000","0","0","15","195.22","164","366","455","664","945","46.36"
"BENCH GET /api/products/{threadId}","2000","0","0","14","186.65","149","374","457","647","978","46.49"
"BENCH GET /api/products?categoryId","2000","0","0","15","192.92","155","386","492","680","1171","46.43"
"BENCH GET /api/users/me","2000","0","0","12","186.5","154","362","443","642","1003","46.87"
