"Label","Samples","Errors","ErrorRatePercent","MinMs","AvgMs","P50Ms","P90Ms","P95Ms","P99Ms","MaxMs","ThroughputPerSec"
"ALL","12000","0","0","12","186.41","154","362","439","615","1248","273.47"
"BENCH GET /api/cart","2000","0","0","14","198.82","165","390","474","630","1094","46.11"
"BENCH GET /api/categories","2000","0","0","13","171.6","137","331","407","592","1008","46.08"
"BENCH GET /api/products","2000","0","0","17","197.17","166","377","456","612","953","45.92"
"BENCH GET /api/products/{threadId}","2000","0","0","15","185.07","154","352","433","613","1248","46.02"
"BENCH GET /api/products?categoryId","2000","0","0","14","187.12","155","360","439","608","919","45.97"
"BENCH GET /api/users/me","2000","0","0","12","178.66","145","355","421","615","1086","46.33"
